Name,Time,Valmin
CARDBOARD1,15/08/2024, 13:08:13,41
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 20:43:00,72
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 20:43:11,72
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 20:43:21,70
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 21:50:06,68
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 21:50:16,69
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:47:04,100
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:47:05,100
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:47:18,56
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:47:29,62
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:47:39,64
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:47:49,72
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:50:15,100
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:50:47,63
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:51:34,100
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:51:34,100
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:51:34,100
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:51:34,100
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:52:49,100
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:52:54,68
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:53:04,67
Z5733121964768_4697A5233A1FC68E73A460CE0F16F63D,15/08/2024, 22:55:30,100
