epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7061,1.57739,3.03021,1.98999,0.67566,0.29355,0.26031,0.11226,1.87418,3.75009,2.39393,0.000234694,0.000234694,0.000234694
2,105.31,1.5074,2.15401,1.85293,0.89367,0.15728,0.23406,0.11632,1.84403,2.41199,2.3931,0.000467495,0.000467495,0.000467495
3,154.968,1.52798,2.14728,1.87118,0.35868,0.25151,0.13635,0.04499,2.43945,4.47918,3.08748,0.000695059,0.000695059,0.000695059
4,204.33,1.54799,2.1739,1.8758,0.59821,0.27592,0.15309,0.07834,1.56058,9.84949,1.97923,0.000690438,0.000690438,0.000690438
5,253.691,1.54504,2.1001,1.8685,0.47236,0.29012,0.18576,0.08511,1.8034,3.22844,2.26199,0.000682584,0.000682584,0.000682584
6,303.017,1.48879,1.98913,1.814,0.7004,0.21081,0.24442,0.11584,1.84737,2.07139,2.25653,0.00067473,0.00067473,0.00067473
7,352.546,1.40972,1.87173,1.76816,0.58466,0.27093,0.26495,0.1524,1.49281,1.66784,1.80521,0.000666876,0.000666876,0.000666876
8,402.071,1.43711,1.86508,1.7786,0.68336,0.32435,0.36607,0.21731,1.43687,1.64416,1.78242,0.000659022,0.000659022,0.000659022
9,451.586,1.38242,1.80506,1.74924,0.49306,0.42445,0.34965,0.19378,1.55181,1.60979,1.85148,0.000651168,0.000651168,0.000651168
10,500.861,1.36514,1.73702,1.71478,0.76808,0.30162,0.28277,0.15332,1.46851,1.80533,1.88435,0.000643314,0.000643314,0.000643314
11,550.129,1.35695,1.70846,1.71116,0.58205,0.42362,0.37224,0.21402,1.51367,1.64797,1.81485,0.00063546,0.00063546,0.00063546
12,599.407,1.32806,1.67191,1.68951,0.69042,0.45883,0.4454,0.26456,1.25428,1.57385,1.61379,0.000627606,0.000627606,0.000627606
13,648.919,1.3072,1.64271,1.66639,0.59203,0.33016,0.34906,0.20713,1.30836,1.52207,1.63459,0.000619752,0.000619752,0.000619752
