epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.7949,0.75069,2.15935,1.27956,0.69009,0.20173,0.21575,0.15791,0.88183,2.2283,1.61743,0.000234694,0.000234694,0.000234694
2,158.729,0.98158,1.809,1.39053,0.84344,0.10729,0.06759,0.04064,1.35199,8.60431,2.27103,0.000463335,0.000463335,0.000463335
3,232.376,1.10067,1.82759,1.4529,0.34525,0.04189,0.00336,0.00168,3.48896,60.9686,9.18981,0.000682551,0.000682551,0.000682551
4,305.762,1.12578,1.80599,1.45354,0.61169,0.01827,0.01304,0.00638,3.0554,4.89995,3.79811,0.000671588,0.000671588,0.000671588
5,379.247,1.08036,1.67692,1.40389,0.88202,0.16809,0.19688,0.13942,1.02394,2.46608,1.69795,0.000657451,0.000657451,0.000657451
6,452.763,1.01254,1.60304,1.37143,0.52228,0.17675,0.15474,0.09879,0.99332,2.78819,1.48606,0.000643314,0.000643314,0.000643314
7,526.309,0.92796,1.47472,1.31198,0.75318,0.30292,0.32148,0.24155,0.77625,1.41439,1.34702,0.000629177,0.000629177,0.000629177
8,600.03,0.95195,1.49268,1.31531,0.52751,0.37034,0.30198,0.22682,0.78311,1.51513,1.35336,0.00061504,0.00061504,0.00061504
9,673.551,0.8655,1.40206,1.28006,0.59488,0.35364,0.35636,0.27853,0.60105,1.29926,1.15172,0.000600902,0.000600902,0.000600902
10,747.335,0.84268,1.35428,1.2663,0.70505,0.28336,0.35455,0.28495,0.65139,1.38373,1.19806,0.000586765,0.000586765,0.000586765
11,821.051,0.84541,1.33236,1.25912,0.70737,0.34679,0.40304,0.33338,0.58718,1.04578,1.13414,0.000572628,0.000572628,0.000572628
12,894.836,0.81062,1.27117,1.23612,0.72086,0.3162,0.33497,0.27637,0.58256,1.27207,1.16935,0.000558491,0.000558491,0.000558491
13,968.277,0.81198,1.2501,1.24439,0.66154,0.40724,0.43295,0.34676,0.54574,1.00642,1.08564,0.000544354,0.000544354,0.000544354
14,1041.96,0.78794,1.20068,1.21438,0.63922,0.41278,0.44489,0.36621,0.51899,1.15366,1.08127,0.000530216,0.000530216,0.000530216
15,1115.74,0.77095,1.19386,1.21997,0.58536,0.4442,0.39845,0.3416,0.53088,1.17188,1.09654,0.000516079,0.000516079,0.000516079
16,1189.25,0.72149,1.12496,1.18218,0.50824,0.42099,0.39703,0.33207,0.59309,1.1016,1.15204,0.000501942,0.000501942,0.000501942
17,1262.71,0.72158,1.11436,1.18835,0.69928,0.44235,0.49636,0.41906,0.50867,0.88825,1.08541,0.000487805,0.000487805,0.000487805
