epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3773,0.72472,3.19141,1.22587,0.59418,0.38049,0.40766,0.35534,0.50237,1.61062,1.11325,0.000234694,0.000234694,0.000234694
2,60.0616,0.75024,1.49869,1.21784,0.63502,0.27258,0.30048,0.21682,0.82483,1.78105,1.4166,0.000463335,0.000463335,0.000463335
3,86.496,0.8297,1.43064,1.25599,0.57752,0.3044,0.2564,0.18527,0.96681,1.99017,1.60922,0.000682551,0.000682551,0.000682551
4,112.756,0.87017,1.29941,1.27444,0.43829,0.35164,0.2764,0.17452,0.93081,2.28444,1.51313,0.000671588,0.000671588,0.000671588
5,139.104,0.82797,1.29769,1.24018,0.64058,0.4214,0.39648,0.274,0.788,1.52056,1.33387,0.000657451,0.000657451,0.000657451
6,165.386,0.81733,1.21097,1.2342,0.59199,0.382,0.42471,0.30112,0.69971,1.73945,1.24483,0.000643314,0.000643314,0.000643314
7,191.764,0.75708,1.11942,1.19252,0.65778,0.43991,0.46227,0.35298,0.68367,1.17231,1.25842,0.000629177,0.000629177,0.000629177
8,218.178,0.7739,1.10011,1.21621,0.76444,0.42373,0.46026,0.36734,0.59922,1.06634,1.14909,0.00061504,0.00061504,0.00061504
9,244.706,0.74211,1.05137,1.19236,0.73871,0.34615,0.42527,0.33348,0.65809,1.11461,1.19942,0.000600902,0.000600902,0.000600902
10,270.988,0.73469,1.03651,1.18432,0.54083,0.49366,0.49988,0.37485,0.59179,1.37294,1.15443,0.000586765,0.000586765,0.000586765
11,297.348,0.69482,0.97236,1.16412,0.50201,0.56785,0.51356,0.40927,0.5241,1.02504,1.10604,0.000572628,0.000572628,0.000572628
12,323.853,0.68005,0.91777,1.15917,0.47161,0.60657,0.58894,0.49311,0.49501,1.05458,1.0792,0.000558491,0.000558491,0.000558491
13,350.228,0.66364,0.91951,1.15247,0.68849,0.57044,0.65351,0.52705,0.50456,0.87731,1.09194,0.000544354,0.000544354,0.000544354
14,376.646,0.66546,0.89283,1.13973,0.53631,0.57858,0.61514,0.46768,0.52347,1.05223,1.07542,0.000530216,0.000530216,0.000530216
15,402.941,0.65023,0.89514,1.1326,0.73855,0.53333,0.67398,0.52406,0.48512,0.76649,1.0491,0.000516079,0.000516079,0.000516079
16,429.252,0.62669,0.86823,1.11447,0.69801,0.63617,0.6585,0.54219,0.46596,0.71877,1.05238,0.000501942,0.000501942,0.000501942
17,455.685,0.62744,0.80203,1.12463,0.65463,0.5514,0.6512,0.56013,0.46777,0.81807,1.05768,0.000487805,0.000487805,0.000487805
18,482.072,0.6302,0.81051,1.12878,0.5035,0.77615,0.59517,0.50216,0.45309,0.72531,1.0584,0.000473668,0.000473668,0.000473668
19,508.404,0.62041,0.82069,1.12028,0.71783,0.48693,0.61743,0.48453,0.45697,1.00876,1.04479,0.00045953,0.00045953,0.00045953
20,534.668,0.59966,0.77188,1.11149,0.65389,0.79087,0.80631,0.67697,0.46056,0.72493,1.04943,0.000445393,0.000445393,0.000445393
21,561.082,0.61021,0.75614,1.11652,0.68005,0.69099,0.78472,0.62535,0.43604,0.65482,1.03628,0.000431256,0.000431256,0.000431256
22,587.424,0.58931,0.71612,1.09838,0.8046,0.61826,0.6947,0.59027,0.40525,0.62681,0.99653,0.000417119,0.000417119,0.000417119
23,613.863,0.57245,0.72979,1.08382,0.50432,0.79277,0.58668,0.50503,0.44215,0.89273,1.03405,0.000402982,0.000402982,0.000402982
24,640.228,0.56215,0.71113,1.07812,0.70769,0.71892,0.6722,0.57592,0.42524,0.7287,1.02772,0.000388844,0.000388844,0.000388844
25,666.55,0.56425,0.68151,1.08634,0.84972,0.57386,0.70492,0.59325,0.36648,0.72128,0.9689,0.000374707,0.000374707,0.000374707
26,692.819,0.55467,0.64992,1.07723,0.77817,0.72863,0.70883,0.6069,0.37077,0.55874,0.97095,0.00036057,0.00036057,0.00036057
27,719.146,0.54229,0.65468,1.07573,0.63952,0.75734,0.75228,0.62439,0.38362,0.57213,0.99099,0.000346433,0.000346433,0.000346433
28,745.511,0.53611,0.61667,1.06586,0.6769,0.84419,0.77652,0.69573,0.36519,0.51644,0.96408,0.000332296,0.000332296,0.000332296
